kepoi_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_score,koi_model_snr,koi_impact
K06723.01,FALSE POSITIVE,0.845097627,86.5,1.873,0.78,1584.0,1496.92,5252.0,4.593,0.783,0.001,10.7,0.717
K06724.01,FALSE POSITIVE,17.445640466,334160.0,6.08966,63.46,682.0,51.15,5759.0,4.481,0.945,0.0,4093.9,0.588
K06725.01,FALSE POSITIVE,14.313157391,21567.0,8.90236,34.98,1144.0,404.48,5750.0,3.703,2.379,0.0,4262.9,0.004
K06726.01,FALSE POSITIVE,0.676990194,20506.0,1.69459,37.5,1919.0,3192.15,5813.0,4.568,0.816,0.0,997.0,1.223
K06727.01,FALSE POSITIVE,0.515875396,1773.0,1.21,7.22,3189.0,24441.1,7229.0,4.278,1.38,,9.1,0.95
K06728.01,CANDIDATE,1.195516531,543630.0,6.23235,76.55,1715.0,2045.19,5780.0,4.438,1.0,,1727.5,0.2461
K06729.01,FALSE POSITIVE,1.995728312,254130.0,6.43715,45.39,1408.0,928.82,5807.0,4.455,0.861,,2030.5,0.4622
K06730.01,FALSE POSITIVE,10.768391927,107380.0,12.5252,52.8,970.0,209.25,5226.0,3.97,1.643,0.0,2085.7,0.001
K06731.01,CANDIDATE,3.84615171,137.1,2.24,1.14,1199.0,487.47,6106.0,4.487,0.966,0.998,9.3,0.153
K06732.01,FALSE POSITIVE,0.733724504,45.9,2.208,0.96,2601.0,10830.96,6175.0,4.099,1.405,0.0,21.4,0.257
K06733.01,CANDIDATE,1.28942156,31.8,3.7,0.68,1984.0,3664.4,6450.0,4.337,1.143,,11.1,0.6417
K06734.01,CANDIDATE,498.27269,534.0,8.92,2.12,214.0,0.5,5618.0,4.514,0.932,,6.6,0.0481
K06735.01,FALSE POSITIVE,5.08840787,386680.0,4.77204,55.3,937.0,181.75,5618.0,4.583,0.791,0.0,3095.0,0.513
K06736.01,FALSE POSITIVE,18.527823704,77533.0,5.88608,35.48,828.0,111.18,6156.0,4.223,1.263,,9261.8,0.1471
K06737.01,FALSE POSITIVE,10.819169459,437140.0,5.50262,67.76,850.0,123.51,5955.0,4.429,0.991,0.0,5258.2,0.275
K06738.01,FALSE POSITIVE,2.680514453,195750.0,3.21178,48.86,1431.0,989.89,6038.0,4.356,1.076,0.0,665.5,0.359
K06739.01,CANDIDATE,19.164111,215.9,2.773,1.11,519.0,17.12,5103.0,4.65,0.674,0.646,8.1,0.805
K06740.01,FALSE POSITIVE,1.053572836,3082.4,1.70636,35.21,1769.0,2315.17,5835.0,4.453,0.907,,596.0,1.2905
K06741.01,FALSE POSITIVE,0.970085594,294.9,1.1168,18.93,4494.0,96426.62,4800.0,2.681,11.308,,17.6,0.126
